res,e,h,b,v,lr,H,t,cell,mech,red,ipt,c,cn,cl
-0.08292682717243831,7,4,8,4,0.001922489903227177,0.8874159515094513,10.0,gru,gs,mean,structured,False,2,8
-0.027642276138067245,8,7,2,24,0.004090287727864077,0.6918501321465633,9.598637303575607,gru,reinforce,mean,structured,True,3,22
-0.028455284734567005,5,3,8,4,0.0018637401990470384,1.0,10.0,gru,reinforce,none,structured,False,2,10
-0.10650406405329704,5,6,0,4,0.0012529960908248836,0.5790692278437056,1.536807227984932e-05,gru,reinforce,none,structured,False,3,71
-0.06341463265319665,10,7,2,25,0.00029121403236381116,0.8061112324404427,8.810525318623863e-07,gru,reinforce,none,structured,False,4,55
-0.06016260261336962,10,7,0,4,0.0019104619212900755,0.6361062237384923,0.6470704459634208,gru,reinforce,none,structured,False,2,8
-0.033333332588275276,6,7,1,15,0.002468053676770849,0.6235005839596078,2.8546903588297887,rnn,reinforce,none,structured,False,2,27
-0.14227642118930817,6,7,1,18,0.0013603326805671813,0.8489662129752676,0.002910517183762664,gru,reinforce,none,structured,True,2,8
-0.0,6,7,1,40,0.4174850926919615,0.6413845200087236,0.005981148977049521,gru,reinforce,none,structured,False,2,8
-0.14715447276830673,6,7,2,62,0.0010765447052856292,0.8272832349340843,0.6235605414311773,gru,reinforce,none,structured,False,2,8
-0.1447154482205709,6,6,1,62,0.0010696107490261715,0.5897704673315692,0.024796193386975324,gru,reinforce,none,structured,False,3,8
-0.14878048499425253,6,6,1,4,0.0011967436977598784,0.8572029584437673,10.0,gru,reinforce,none,structured,False,3,10
-0.08699186829229195,7,6,2,4,0.0017854429778413213,0.510130902480361,0.0004325498282239331,gru,gs,none,structured,False,5,32
-0.1284552812576294,7,6,1,50,0.0012803100739017857,0.8577535510477965,10.0,gru,reinforce,none,structured,False,2,8
-0.1422764224310716,6,7,4,4,0.0008889008778637194,0.6587134132528962,0.059977427751829814,gru,gs,none,structured,False,2,8
-0.0943089419354995,6,7,8,4,0.0007789975084349119,0.6456466187102244,3.9468241311537855,gru,reinforce,none,structured,False,2,8
-0.15284552921851477,5,7,1,4,0.0009038245930259612,0.549670475340448,0.12115976752054321,gru,reinforce,none,structured,False,2,8
-0.15284552921851477,2,6,0,63,0.0008492001979515305,0.09079053096577862,0.5853829725763662,gru,gs,mean,structured,True,3,58
-0.511382112900416,4,6,0,29,0.001016439558836774,0.9731669345519379,10.0,gru,gs,none,structured,False,2,8
-0.3219512204329173,4,7,0,10,0.0014768586154649856,0.013539488187272103,2.9007019274753314,gru,gs,none,structured,False,6,8
-0.15284552673498789,4,6,0,9,0.0016387325473792144,1.0,0.008318665066991842,gru,gs,mean,structured,False,2,8
-0.22601625820000967,3,6,0,31,0.0007035015304501517,0.900850985306392,0.31707807971126667,gru,gs,none,structured,False,2,8
-0.05853658324728409,4,3,0,58,0.0006610591817610362,0.7535789310039922,5.0559065008333706e-08,rnn,gs,none,structured,False,5,52
-0.3715447224676609,4,6,0,53,0.0009261588376152353,0.9469302704778204,10.0,gru,gs,none,structured,False,2,8
-0.11219512050350507,4,2,0,54,9.739813411597763e-05,0.1909538101639882,4.624989087504115,lstm,gs,none,one-hot,True,3,15
-0.4292682905991872,4,4,4,50,0.009138666730626558,0.8375840355307684,2.8602917441523905,gru,gs,none,structured,False,4,62
-0.02926829271018505,4,8,0,12,0.01803539268802737,1.0,1.7167960961513957,gru,gs,none,structured,True,4,48
-0.6861788829167684,4,4,1,13,0.0014685021935941416,1.0,10.0,gru,gs,none,structured,False,5,28
-0.013008130248636007,4,4,1,6,3.7838783123992574e-07,1.0,10.0,lstm,gs,mean,structured,False,2,92
-0.11056910455226898,4,4,0,9,0.0016594557339870328,1.0,0.004200245775621097,gru,gs,none,structured,False,4,40
-0.019512195140123367,4,4,3,6,1.9944271905381265e-07,1.0,10.0,gru,gs,none,structured,False,5,71
-0.6430894335110983,4,4,3,5,0.0029015034395923405,1.0,10.0,gru,gs,none,structured,False,5,8
-0.11138211190700531,4,4,8,15,0.0012817747852713953,1.0,10.0,lstm,gs,none,structured,False,7,25
-0.36504065555830795,4,4,4,15,0.0012981561387777464,1.0,10.0,gru,gs,none,structured,False,3,76
-0.05447154492139816,4,4,8,14,0.003716056472437429,1.0,10.0,gru,gs,none,structured,False,2,26
-0.5967479546864828,4,4,2,34,0.0029188834342066803,0.3638366915495839,10.0,gru,gs,none,structured,False,5,10
-0.5658536553382874,4,3,1,10,0.002737809087035748,1.0,10.0,gru,gs,none,structured,False,3,12
-0.40406503590444726,5,4,2,61,0.0014645962336015277,0.5209249336273275,10.0,gru,gs,none,structured,False,3,8
-0.27967479825019836,4,4,2,46,0.004035782560351886,1.0,10.0,gru,gs,mean,one-hot,False,5,15
-0.38211381435394287,4,4,1,4,0.0021847670500085366,0.41634567809732576,10.0,gru,gs,mean,structured,False,3,12
-0.39349592477083206,4,4,2,22,0.0037647378195100945,1.0,10.0,gru,gs,none,structured,False,7,8
-0.41463414827982586,4,3,1,5,0.0025603918959362275,1.0,10.0,gru,gs,none,structured,False,5,8
-0.030081300685803097,3,2,2,47,0.017825612643958533,0.6398458373841702,7.009654570601319,rnn,gs,none,structured,False,6,37
-0.6008130212624868,4,4,2,24,0.002725450091320716,0.9819514764939905,10.0,gru,gs,none,structured,False,4,29
-0.5430894295374552,4,4,2,6,0.0030565500962646407,0.6708275538868614,10.0,gru,gs,none,structured,False,4,8
-0.5333333412806193,4,4,2,60,0.0027852815931925226,0.7173231013122285,10.0,gru,gs,none,structured,False,4,78
-0.5634146332740784,4,3,2,58,0.0032390947026015525,0.22176197121459548,10.0,gru,gs,none,structured,False,4,94
-0.0,1,10,10,45,0.7026433078830374,0.685436467218713,7.300143322606488e-08,lstm,reinforce,none,structured,True,5,13
-0.3471544732650121,4,2,2,15,0.002331492518092123,0.8856715635541813,10.0,gru,gs,none,structured,False,4,10
