x	y	C
1	58	1
2	58	1
3	58	2
4	58	2
5	58	2
6	58	3
7	58	3
0	59	0
1	59	1
2	59	1
3	59	2
4	59	2
5	59	2
6	59	2
7	59	3
0	60	0
1	60	1
2	60	1
3	60	2
4	60	2
5	60	3
6	60	3
7	60	2
0	61	0
1	61	1
2	61	2
3	61	2
4	61	2
5	61	2
6	61	3
7	61	3
0	62	0
1	62	1
2	62	2
3	62	2
4	62	2
5	62	2
6	62	3
7	62	2
0	63	0
1	63	1
2	63	2
3	63	2
4	63	2
5	63	2
6	63	2
7	63	3
0	64	0
1	64	1
2	64	2
3	64	2
4	64	2
5	64	3
6	64	3
7	64	3
0	65	0
1	65	1
2	65	2
3	65	2
4	65	2
5	65	3
6	65	2
7	65	5
0	66	0
1	66	1
2	66	2
3	66	2
4	66	2
5	66	2
6	66	5
7	66	3
0	67	0
1	67	1
2	67	2
3	67	2
4	67	2
5	67	2
6	67	3
7	67	5
0	68	0
1	68	1
2	68	2
3	68	2
4	68	3
5	68	2
6	68	3
7	68	4
0	69	0
1	69	1
2	69	2
3	69	2
4	69	2
5	69	5
6	69	3
7	69	3
0	70	0
1	70	1
2	70	2
3	70	2
4	70	3
5	70	3
6	70	3
7	70	3
0	71	0
1	71	1
2	71	2
3	71	2
4	71	3
5	71	3
6	71	3
7	71	4
0	72	0
1	72	1
2	72	2
3	72	2
4	72	3
5	72	3
6	72	4
7	72	3
0	73	0
1	73	1
2	73	2
3	73	3
4	73	2
5	73	3
6	73	4
7	73	3
0	74	0
1	74	1
2	74	2
3	74	2
4	74	5
5	74	3
6	74	5
7	74	5
0	75	0
1	75	1
2	75	2
3	75	2
4	75	5
5	75	3
6	75	4
7	75	3
0	76	0
1	76	2
2	76	1
3	76	2
4	76	3
5	76	3
6	76	3
7	76	3
0	77	0
1	77	2
2	77	2
3	77	2
4	77	2
5	77	2
6	77	3
7	77	3
0	78	0
1	78	1
2	78	2
3	78	3
4	78	3
5	78	3
6	78	5
7	78	5
0	79	0
1	79	1
2	79	2
3	79	3
4	79	3
5	79	3
6	79	4
7	79	5
0	80	0
1	80	1
2	80	2
3	80	3
4	80	3
5	80	3
6	80	4
7	80	3
0	81	0
1	81	2
2	81	1
3	81	2
4	81	3
5	81	3
6	81	3
7	81	4
0	82	0
1	82	2
2	82	2
3	82	2
4	82	2
5	82	3
6	82	3
7	82	3
0	83	0
1	83	2
2	83	2
3	83	2
4	83	3
5	83	3
6	83	3
7	83	3
0	84	0
1	84	2
2	84	2
3	84	2
4	84	3
5	84	2
6	84	3
7	84	4
0	85	0
1	85	2
2	85	2
3	85	2
4	85	2
5	85	5
6	85	3
7	85	3
0	86	0
1	86	2
2	86	2
3	86	2
4	86	3
5	86	3
6	86	3
7	86	4
0	87	0
1	87	2
2	87	2
3	87	3
4	87	3
5	87	3
6	87	3
7	87	5
0	88	0
1	88	2
2	88	2
3	88	3
4	88	3
5	88	3
6	88	3
7	88	3
0	89	0
1	89	2
2	89	2
3	89	3
4	89	3
5	89	3
6	89	3
7	89	4
0	90	0
1	90	2
2	90	2
3	90	3
4	90	2
5	90	5
6	90	5
7	90	3
0	91	0
1	91	2
2	91	2
3	91	2
4	91	4
5	91	3
6	91	3
7	91	3
0	92	0
1	92	2
2	92	2
3	92	3
4	92	3
5	92	3
6	92	4
7	92	5
0	93	0
1	93	2
2	93	2
3	93	3
4	93	3
5	93	4
6	93	3
7	93	3
0	94	0
1	94	2
2	94	2
3	94	5
4	94	3
5	94	5
6	94	5
7	94	3
0	95	0
1	95	2
2	95	2
3	95	5
4	95	3
5	95	3
6	95	3
7	95	4
0	96	0
1	96	2
2	96	2
3	96	5
4	96	3
5	96	4
6	96	3
7	96	5
0	97	0
1	97	2
2	97	2
3	97	5
4	97	3
5	97	4
6	97	3
7	97	3
0	98	0
1	98	2
2	98	3
3	98	3
4	98	3
5	98	3
6	98	5
7	98	4
0	99	0
1	99	2
2	99	3
3	99	3
4	99	3
5	99	3
6	99	3
7	99	4
0	100	0
1	100	2
2	100	2
3	100	6
4	100	3
5	100	3
6	100	3
7	100	3
0	101	0
1	101	2
2	101	2
3	101	6
4	101	3
5	101	2
6	101	3
7	101	5
0	102	0
1	102	2
2	102	2
3	102	6
4	102	3
5	102	2
6	102	3
7	102	4
0	103	0
1	103	2
2	103	3
3	103	3
4	103	5
5	103	3
6	103	4
7	103	5
0	104	0
1	104	2
2	104	3
3	104	3
4	104	3
5	104	4
6	104	5
7	104	3
0	105	0
1	105	2
2	105	3
3	105	3
4	105	3
5	105	4
6	105	3
7	105	4
0	106	0
1	106	2
2	106	3
3	106	5
4	106	3
5	106	5
6	106	5
7	106	3
0	107	0
1	107	2
2	107	3
3	107	5
4	107	3
5	107	4
6	107	5
7	107	3
0	108	0
1	108	2
2	108	3
3	108	5
4	108	3
5	108	4
6	108	3
7	108	5
0	109	0
1	109	2
2	109	3
3	109	5
4	109	3
5	109	4
6	109	3
7	109	4
0	110	0
1	110	2
2	110	3
3	110	3
4	110	4
5	110	3
6	110	5
7	110	5
0	111	0
1	111	2
2	111	5
3	111	3
4	111	3
5	111	5
6	111	5
7	111	5
0	112	0
1	112	2
2	112	5
3	112	3
4	112	3
5	112	3
6	112	6
7	112	3
0	113	0
1	113	2
2	113	5
3	113	3
4	113	3
5	113	3
6	113	5
7	113	4
0	114	0
1	114	2
2	114	3
3	114	6
4	114	3
5	114	3
6	114	3
7	114	3
0	115	0
1	115	2
2	115	3
3	115	4
4	115	3
5	115	5
6	115	3
7	115	4
0	116	0
1	116	2
2	116	3
3	116	4
4	116	3
5	116	3
6	116	4
7	116	5
0	117	0
1	117	2
2	117	6
3	117	2
4	117	3
5	117	3
6	117	4
7	117	3
0	118	0
1	118	2
2	118	5
3	118	3
4	118	5
5	118	5
6	118	5
7	118	5
0	119	0
1	119	2
2	119	5
3	119	3
4	119	4
5	119	5
6	119	3
7	119	5
0	120	0
1	120	2
2	120	5
3	120	3
4	120	4
5	120	3
6	120	5
7	120	4
0	121	0
1	121	2
2	121	5
3	121	3
4	121	4
5	121	3
6	121	4
7	121	5
0	122	0
1	122	2
2	122	6
3	122	2
4	122	3
5	122	5
6	122	5
7	122	5
0	123	0
1	123	2
2	123	6
3	123	2
4	123	3
5	123	5
6	123	5
7	123	3
