x	y	C
1	58	4
2	58	4
3	58	4
4	58	4
5	58	4
6	58	4
7	58	4
0	59	4
1	59	4
2	59	4
3	59	4
4	59	4
5	59	4
6	59	4
7	59	4
